,id,year,venue,team_A,team_B,Runs_in_Powerplay,Wickets_lost_in_Powerplay,Runs_in_middle_overs,Wickets_lost_in_middle_overs,Runs_in_Death_overs,Wickets_lost_in_death_overs,Total_Score_A,Total_Wicket_A,toss_winner,toss_decision,city,winner,event
82,560922B,2012,Central Broward Regional Park Stadium Turf Ground,New Zealand,West Indies,33,3,61,5,22,2,116,10,West Indies,bat,Lauderhill,West Indies,New Zealand v West Indies T20I Series
83,356013A,2009,Trent Bridge,Sri Lanka,New Zealand,51,2,73,1,34,1,158,4,Sri Lanka,bat,Nottingham,Sri Lanka,ICC World Twenty20
83,356013B,2009,Trent Bridge,New Zealand,Sri Lanka,46,2,56,7,8,1,110,10,Sri Lanka,bat,Nottingham,Sri Lanka,ICC World Twenty20
84,682937A,2014,Zahur Ahmed Chowdhury Stadium,South Africa,Netherlands,58,2,62,4,25,3,145,9,Netherlands,field,Chittagong,South Africa,World T20
84,682937B,2014,Zahur Ahmed Chowdhury Stadium,Netherlands,South Africa,63,1,65,5,11,2,139,8,Netherlands,field,Chittagong,South Africa,World T20
85,1336953A,2022,Sano International Cricket Ground,Indonesia,Japan,24,3,43,3,16,4,83,10,Indonesia,bat,Sano,Japan,ICC Men's T20 World Cup East Asia-Pacific Region Qualifier B
85,1336953B,2022,Sano International Cricket Ground,Japan,Indonesia,63,3,21,2,0,0,84,5,Indonesia,bat,Sano,Japan,ICC Men's T20 World Cup East Asia-Pacific Region Qualifier B
86,1142918A,2018,Harare Sports Club,Zimbabwe,Australia,44,3,70,1,37,5,151,9,Zimbabwe,bat,,Australia,Zimbabwe Twenty20 Tri-Series
86,1142918B,2018,Harare Sports Club,Australia,Zimbabwe,35,2,93,0,26,3,154,5,Zimbabwe,bat,,Australia,Zimbabwe Twenty20 Tri-Series
87,1268191A,2021,Marsa Sports Club,Belgium,Malta,34,3,61,3,33,1,128,7,Belgium,bat,Marsa,Malta,Belgium tour of Malta
87,1268191B,2021,Marsa Sports Club,Malta,Belgium,30,3,65,2,30,2,125,7,Belgium,bat,Marsa,Malta,Belgium tour of Malta
88,1217745A,2020,Terdthai Cricket Ground,Singapore,Hong Kong,59,1,67,2,42,2,168,5,Singapore,bat,Bangkok,Singapore,ACC Eastern Region T20
88,1217745B,2020,Terdthai Cricket Ground,Hong Kong,Singapore,46,2,72,3,34,3,152,8,Singapore,bat,Bangkok,Singapore,ACC Eastern Region T20
89,682923A,2014,Zahur Ahmed Chowdhury Stadium,Sri Lanka,South Africa,51,2,77,2,37,3,165,7,Sri Lanka,bat,Chittagong,Sri Lanka,World T20
89,682923B,2014,Zahur Ahmed Chowdhury Stadium,South Africa,Sri Lanka,40,1,80,3,40,4,160,8,Sri Lanka,bat,Chittagong,Sri Lanka,World T20
90,636538A,2014,"Kensington Oval, Bridgetown",England,West Indies,64,0,61,3,40,3,165,6,England,bat,Barbados,England,England in West Indies T20I Series
90,636538B,2014,"Kensington Oval, Bridgetown",West Indies,England,35,3,78,2,47,2,160,7,England,bat,Barbados,England,England in West Indies T20I Series
91,1336951A,2022,Sano International Cricket Ground,Indonesia,South Korea,46,2,65,0,19,4,130,6,South Korea,field,Sano,Indonesia,ICC Men's T20 World Cup East Asia-Pacific Region Qualifier B
91,1336951B,2022,Sano International Cricket Ground,South Korea,Indonesia,29,4,37,6,0,0,66,10,South Korea,field,Sano,Indonesia,ICC Men's T20 World Cup East Asia-Pacific Region Qualifier B
92,682935A,2014,Shere Bangla National Stadium,West Indies,Bangladesh,36,0,87,2,48,5,171,7,Bangladesh,field,Mirpur,West Indies,World T20
92,682935B,2014,Shere Bangla National Stadium,Bangladesh,West Indies,29,3,48,5,21,2,98,10,Bangladesh,field,Mirpur,West Indies,World T20
93,682921A,2014,Shere Bangla National Stadium,Pakistan,India,34,1,66,3,30,3,130,7,India,field,Mirpur,India,World T20
93,682921B,2014,Shere Bangla National Stadium,India,Pakistan,38,0,76,3,17,0,131,3,India,field,Mirpur,India,World T20
94,1257405A,2021,"Wanderers Cricket Ground, Windhoek",Namibia,Uganda,30,3,70,1,34,2,134,6,Namibia,bat,Windhoek,Namibia,Uganda tour of Namibia
94,1257405B,2021,"Wanderers Cricket Ground, Windhoek",Uganda,Namibia,19,3,46,1,0,0,65,4,Namibia,bat,Windhoek,Namibia,Uganda tour of Namibia
95,1217747A,2020,Terdthai Cricket Ground,Malaysia,Hong Kong,41,1,58,3,33,2,132,6,Malaysia,bat,Bangkok,Hong Kong,ACC Eastern Region T20
95,1217747B,2020,Terdthai Cricket Ground,Hong Kong,Malaysia,39,0,66,1,28,1,133,2,Malaysia,bat,Bangkok,Hong Kong,ACC Eastern Region T20
96,356005A,2009,Lord's,Sri Lanka,Pakistan,65,0,63,3,22,3,150,6,Sri Lanka,bat,London,Sri Lanka,ICC World Twenty20
96,356005B,2009,Lord's,Pakistan,Sri Lanka,36,3,67,2,28,4,131,9,Sri Lanka,bat,London,Sri Lanka,ICC World Twenty20
97,682909A,2014,Sylhet Stadium,Netherlands,Zimbabwe,38,3,65,1,37,0,140,4,Netherlands,bat,,Zimbabwe,World T20
97,682909B,2014,Sylhet Stadium,Zimbabwe,Netherlands,37,1,64,2,45,2,146,5,Netherlands,bat,,Zimbabwe,World T20
98,356011A,2009,Kennington Oval,England,West Indies,49,1,73,2,39,1,161,4,England,bat,London,West Indies,ICC World Twenty20
98,356011B,2009,Kennington Oval,West Indies,England,51,5,31,0,0,0,82,5,England,bat,London,West Indies,ICC World Twenty20
99,685727A,2013,New Wanderers Stadium,South Africa,Pakistan,60,0,51,4,42,3,153,7,Pakistan,field,Johannesburg,South Africa,Pakistan in South Africa T20I Series
99,685727B,2013,New Wanderers Stadium,Pakistan,South Africa,40,1,20,1,0,0,60,2,Pakistan,field,Johannesburg,South Africa,Pakistan in South Africa T20I Series
100,361656A,2008,Maple Leaf North-West Ground,Sri Lanka,Pakistan,52,1,67,3,18,5,137,9,Pakistan,field,King City,Pakistan,T20 Canada
100,361656B,2008,Maple Leaf North-West Ground,Pakistan,Sri Lanka,31,1,61,5,49,0,141,6,Pakistan,field,King City,Pakistan,T20 Canada
101,1201680A,2019,Indian Association Ground,Nepal,Zimbabwe,30,1,64,4,38,1,132,6,Nepal,bat,Singapore,Zimbabwe,Singapore Twenty20 Tri-Series
101,1201680B,2019,Indian Association Ground,Zimbabwe,Nepal,39,4,67,1,27,0,133,5,Nepal,bat,Singapore,Zimbabwe,Singapore Twenty20 Tri-Series
102,1310941A,2022,"Queens Sports Club, Bulawayo",Zimbabwe,Namibia,47,0,67,4,43,3,157,7,Namibia,field,Bulawayo,Namibia,Namibia tour of Zimbabwe
102,1310941B,2022,"Queens Sports Club, Bulawayo",Namibia,Zimbabwe,48,1,81,1,32,1,161,3,Namibia,field,Bulawayo,Namibia,Namibia tour of Zimbabwe
103,1332510A,2022,"Willowmoore Park, Benoni",Tanzania,Uganda,65,0,73,3,36,2,174,5,Uganda,field,Benoni,Uganda,Africa Cricket Association Cup
103,1332510B,2022,"Willowmoore Park, Benoni",Uganda,Tanzania,46,1,75,0,54,0,175,1,Uganda,field,Benoni,Uganda,Africa Cricket Association Cup
104,930585A,2015,Sheikh Zayed Stadium,Afghanistan,Oman,41,1,74,2,45,0,160,3,Oman,field,Abu Dhabi,Afghanistan,Afghanistan v Oman T20I Series
104,930585B,2015,Sheikh Zayed Stadium,Oman,Afghanistan,41,2,68,2,39,3,148,7,Oman,field,Abu Dhabi,Afghanistan,Afghanistan v Oman T20I Series
105,1332504A,2022,"Willowmoore Park, Benoni",Botswana,Mozambique,41,0,79,2,65,3,185,5,Mozambique,field,Benoni,Botswana,Africa Cricket Association Cup
105,1332504B,2022,"Willowmoore Park, Benoni",Mozambique,Botswana,24,2,53,5,16,3,93,10,Mozambique,field,Benoni,Botswana,Africa Cricket Association Cup
106,571150A,2012,Dubai International Cricket Stadium,Australia,Pakistan,42,0,103,3,23,4,168,7,Pakistan,field,,Australia,Pakistan v Australia T20I Series
106,571150B,2012,Dubai International Cricket Stadium,Pakistan,Australia,21,4,39,3,14,2,74,9,Pakistan,field,,Australia,Pakistan v Australia T20I Series
107,1282748A,2021,"Desert Springs Cricket Ground, Almeria",Italy,Germany,47,1,44,3,26,5,117,9,Germany,field,Almeria,Italy,ICC Men's T20 World Cup Europe Region Qualifier
107,1282748B,2021,"Desert Springs Cricket Ground, Almeria",Germany,Italy,21,1,51,4,44,0,116,5,Germany,field,Almeria,Italy,ICC Men's T20 World Cup Europe Region Qualifier
108,951351A,2016,Feroz Shah Kotla,England,Afghanistan,42,4,52,3,48,0,142,7,England,bat,Delhi,England,World T20
108,951351B,2016,Feroz Shah Kotla,Afghanistan,England,28,2,60,4,39,2,127,8,England,bat,Delhi,England,World T20
109,1284488A,2021,"West End Park International Cricket Stadium, Doha",Qatar,Bahrain,32,2,63,3,38,0,133,5,Bahrain,field,Doha,Bahrain,ICC Men's T20 World Cup Asia A Qualifier
109,1284488B,2021,"West End Park International Cricket Stadium, Doha",Bahrain,Qatar,82,0,52,2,0,0,134,2,Bahrain,field,Doha,Bahrain,ICC Men's T20 World Cup Asia A Qualifier
110,1237124A,2020,Newlands,South Africa,England,44,1,79,2,68,0,191,3,South Africa,bat,Cape Town,England,England tour of South Africa
110,1237124B,2020,Newlands,England,South Africa,56,0,112,0,24,0,192,0,South Africa,bat,Cape Town,England,England tour of South Africa
111,1142503A,2018,Sportpark Het Schootsveld,Ireland,Scotland,68,1,99,2,38,2,205,5,Ireland,bat,Deventer,Ireland,Netherlands Tri-Nation T20I Series
111,1142503B,2018,Sportpark Het Schootsveld,Scotland,Ireland,60,0,70,3,29,1,159,4,Ireland,bat,Deventer,Ireland,Netherlands Tri-Nation T20I Series
112,951345A,2016,M Chinnaswamy Stadium,Sri Lanka,West Indies,41,1,49,3,32,4,122,8,West Indies,field,Bangalore,West Indies,World T20
112,951345B,2016,M Chinnaswamy Stadium,West Indies,Sri Lanka,39,1,60,2,28,0,127,3,West Indies,field,Bangalore,West Indies,World T20
113,521217A,2011,Eden Gardens,India,England,32,3,59,3,29,3,120,9,India,bat,Kolkata,England,
113,521217B,2011,Eden Gardens,England,India,28,1,78,2,15,0,121,3,India,bat,Kolkata,England,
114,287853A,2007,New Wanderers Stadium,West Indies,South Africa,54,0,123,2,28,4,205,6,South Africa,field,Johannesburg,South Africa,ICC World Twenty20
114,287853B,2007,New Wanderers Stadium,South Africa,West Indies,59,1,121,1,28,0,208,2,South Africa,field,Johannesburg,South Africa,ICC World Twenty20
115,1187677A,2020,Eden Park,New Zealand,India,68,0,97,3,38,2,203,5,India,field,Auckland,India,India tour of New Zealand
115,1187677B,2020,Eden Park,India,New Zealand,65,1,100,3,39,0,204,4,India,field,Auckland,India,India tour of New Zealand
116,1327280A,2022,Dubai International Cricket Stadium,Pakistan,Sri Lanka,49,1,46,6,26,3,121,10,Sri Lanka,field,Dubai,Sri Lanka,Asia Cup
116,1327280B,2022,Dubai International Cricket Stadium,Sri Lanka,Pakistan,37,3,70,1,17,1,124,5,Sri Lanka,field,Dubai,Sri Lanka,Asia Cup
117,1199515A,2019,ICC Academy,Kenya,Bermuda,36,2,64,1,38,0,138,3,Kenya,bat,Dubai,Kenya,ICC Men's T20 World Cup Qualifier
117,1199515B,2019,ICC Academy,Bermuda,Kenya,23,3,55,5,15,1,93,9,Kenya,bat,Dubai,Kenya,ICC Men's T20 World Cup Qualifier
118,1007659A,2016,Harare Sports Club,India,Zimbabwe,29,3,64,1,45,2,138,6,Zimbabwe,field,,India,India in Zimbabwe T20I Series
118,1007659B,2016,Harare Sports Club,Zimbabwe,India,40,1,57,1,38,2,135,4,Zimbabwe,field,,India,India in Zimbabwe T20I Series
119,439510A,2010,Dubai International Cricket Stadium,Ireland,Netherlands,37,1,81,4,33,1,151,6,Ireland,bat,,Ireland,ICC World Twenty20 Qualifier
119,439510B,2010,Dubai International Cricket Stadium,Netherlands,Ireland,36,1,50,7,0,0,86,8,Ireland,bat,,Ireland,ICC World Twenty20 Qualifier
120,1199501A,2019,ICC Academy,Netherlands,Kenya,61,1,66,3,39,0,166,4,Netherlands,bat,Dubai,Netherlands,ICC Men's T20 World Cup Qualifier
120,1199501B,2019,ICC Academy,Kenya,Netherlands,30,2,82,2,24,4,136,8,Netherlands,bat,Dubai,Netherlands,ICC Men's T20 World Cup Qualifier
121,1275277A,2021,"Moara Vlasiei Cricket Ground, Ilfov County",Romania,Luxembourg,49,3,80,2,27,5,156,10,Romania,bat,Ilfov County,Romania,Continental Cup
121,1275277B,2021,"Moara Vlasiei Cricket Ground, Ilfov County",Luxembourg,Romania,34,3,52,5,37,1,123,9,Romania,bat,Ilfov County,Romania,Continental Cup
122,426418A,2010,Sophia Gardens,Pakistan,England,23,4,48,3,18,3,89,10,Pakistan,bat,Cardiff,England,Pakistan in England T20I Series
122,426418B,2010,Sophia Gardens,England,Pakistan,35,2,55,1,0,0,90,3,Pakistan,bat,Cardiff,England,Pakistan in England T20I Series
123,440945A,2010,Dubai International Cricket Stadium,Pakistan,England,25,2,74,3,30,3,129,8,Pakistan,bat,,England,Pakistan v England T20I Series
123,440945B,2010,Dubai International Cricket Stadium,England,Pakistan,25,3,84,0,21,0,130,3,Pakistan,bat,,England,Pakistan v England T20I Series
124,1199529A,2019,Dubai International Cricket Stadium,Papua New Guinea,Singapore,61,1,78,3,41,0,180,4,Singapore,field,Dubai,Papua New Guinea,ICC Men's T20 World Cup Qualifier
124,1199529B,2019,Dubai International Cricket Stadium,Singapore,Papua New Guinea,37,3,72,4,28,2,137,9,Singapore,field,Dubai,Papua New Guinea,ICC Men's T20 World Cup Qualifier
125,1273148A,2021,Kerava National Cricket Ground,Finland,Sweden,34,1,59,2,48,3,141,6,Sweden,field,Kerava,Sweden,Sweden tour of Finland
125,1273148B,2021,Kerava National Cricket Ground,Sweden,Finland,41,1,72,6,0,0,113,7,Sweden,field,Kerava,Sweden,Sweden tour of Finland
126,1299585A,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Ireland,United Arab Emirates,36,3,86,2,37,3,159,8,Ireland,bat,Al Amarat,United Arab Emirates,ICC Men's T20 World Cup Qualifier A
126,1299585B,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),United Arab Emirates,Ireland,21,2,111,0,28,1,160,3,Ireland,bat,Al Amarat,United Arab Emirates,ICC Men's T20 World Cup Qualifier A
127,1197510A,2019,United Cricket Club Ground,Botswana,Namibia,33,1,30,5,22,1,85,7,Botswana,bat,Windhoek,Namibia,Botswana tour of Namibia
127,1197510B,2019,United Cricket Club Ground,Namibia,Botswana,32,2,54,0,0,0,86,2,Botswana,bat,Windhoek,Namibia,Botswana tour of Namibia
128,1144990A,2018,"Brisbane Cricket Ground, Woolloongabba",Australia,India,38,1,114,2,6,1,158,4,India,field,Brisbane,Australia,India tour of Australia
128,1144990B,2018,"Brisbane Cricket Ground, Woolloongabba",India,Australia,53,1,108,4,8,2,169,7,India,field,Brisbane,Australia,India tour of Australia
129,1283046A,2021,Gahanga International Cricket Stadium. Rwanda,Cameroon,Botswana,16,1,35,8,0,0,51,9,Cameroon,bat,Kigali City,Botswana,ICC Men's T20 World Cup Sub Regional Africa Qualifier
129,1283046B,2021,Gahanga International Cricket Stadium. Rwanda,Botswana,Cameroon,54,1,0,0,0,0,54,1,Cameroon,bat,Kigali City,Botswana,ICC Men's T20 World Cup Sub Regional Africa Qualifier
130,1272097A,2021,"Shere Bangla National Stadium, Mirpur",New Zealand,Bangladesh,58,2,58,2,45,1,161,5,New Zealand,bat,Dhaka,New Zealand,New Zealand tour of Bangladesh
130,1272097B,2021,"Shere Bangla National Stadium, Mirpur",Bangladesh,New Zealand,35,1,74,4,25,2,134,7,New Zealand,bat,Dhaka,New Zealand,New Zealand tour of Bangladesh
131,1286670A,2021,"Coolidge Cricket Ground, Antigua",Canada,Belize,61,0,106,2,67,1,234,3,Canada,bat,Coolidge,Canada,ICC Men's T20 World Cup Americas Region Qualifier
131,1286670B,2021,"Coolidge Cricket Ground, Antigua",Belize,Canada,13,2,55,1,21,2,89,5,Canada,bat,Coolidge,Canada,ICC Men's T20 World Cup Americas Region Qualifier
132,1233975A,2021,Sky Stadium,Australia,New Zealand,47,0,65,3,30,4,142,7,Australia,bat,Wellington,New Zealand,Australia tour of New Zealand
132,1233975B,2021,Sky Stadium,New Zealand,Australia,51,0,92,2,0,0,143,2,Australia,bat,Wellington,New Zealand,Australia tour of New Zealand
133,743953A,2015,Old Trafford,England,New Zealand,60,1,85,4,46,2,191,7,England,bat,Manchester,England,
133,743953B,2015,Old Trafford,New Zealand,England,73,2,61,6,1,2,135,10,England,bat,Manchester,England,
134,1310174A,2022,Marsa Sports Club,Czech Republic,Gibraltar,61,0,65,4,58,1,184,5,Czech Republic,bat,Marsa,Czech Republic,Valletta Cup
134,1310174B,2022,Marsa Sports Club,Gibraltar,Czech Republic,54,3,66,3,24,2,144,8,Czech Republic,bat,Marsa,Czech Republic,Valletta Cup
135,1233961A,2020,McLean Park,New Zealand,Pakistan,47,2,81,2,45,3,173,7,Pakistan,field,Napier,Pakistan,Pakistan tour of New Zealand
135,1233961B,2020,McLean Park,Pakistan,New Zealand,47,1,90,1,40,4,177,6,Pakistan,field,Napier,Pakistan,Pakistan tour of New Zealand
136,1263165A,2021,"Providence Stadium, Guyana",Pakistan,West Indies,55,1,79,1,23,6,157,8,West Indies,field,Providence,Pakistan,Pakistan tour of West Indies
136,1263165B,2021,"Providence Stadium, Guyana",West Indies,Pakistan,31,2,71,2,48,1,150,5,West Indies,field,Providence,Pakistan,Pakistan tour of West Indies
137,1283091A,2021,University of Lagos Cricket Oval,Nigeria,Sierra Leone,24,2,65,5,35,1,124,8,Sierra Leone,field,Lagos,Nigeria,Sierra Leone tour of Nigeria
137,1283091B,2021,University of Lagos Cricket Oval,Sierra Leone,Nigeria,19,4,36,4,0,0,55,8,Sierra Leone,field,Lagos,Nigeria,Sierra Leone tour of Nigeria
138,660185A,2013,ICC Academy,Netherlands,Kenya,51,1,53,3,26,1,130,5,Netherlands,bat,Dubai,Netherlands,ICC World Twenty20 Qualifier
138,660185B,2013,ICC Academy,Kenya,Netherlands,10,5,73,3,18,0,101,8,Netherlands,bat,Dubai,Netherlands,ICC World Twenty20 Qualifier
139,914221A,2016,Eden Park,Pakistan,New Zealand,52,1,82,3,37,4,171,8,New Zealand,field,Auckland,Pakistan,Pakistan in New Zealand T20I Series
139,914221B,2016,Eden Park,New Zealand,Pakistan,48,1,74,5,33,4,155,10,New Zealand,field,Auckland,Pakistan,Pakistan in New Zealand T20I Series
140,1263159A,2021,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",Australia,West Indies,72,1,82,4,35,1,189,6,Australia,bat,Gros Islet,Australia,Australia tour of West Indies
140,1263159B,2021,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",West Indies,Australia,75,1,58,4,52,1,185,6,Australia,bat,Gros Islet,Australia,Australia tour of West Indies
141,1185316A,2020,The Wanderers Stadium,Australia,South Africa,70,1,85,3,41,2,196,6,South Africa,field,Johannesburg,Australia,Australia tour of South Africa
141,1185316B,2020,The Wanderers Stadium,South Africa,Australia,38,3,51,6,0,0,89,9,South Africa,field,Johannesburg,Australia,Australia tour of South Africa
142,1185317A,2020,St George's Park,South Africa,Australia,59,0,68,3,31,1,158,4,South Africa,bat,Port Elizabeth,South Africa,Australia tour of South Africa
142,1185317B,2020,St George's Park,Australia,South Africa,54,1,73,2,19,3,146,6,South Africa,bat,Port Elizabeth,South Africa,Australia tour of South Africa
143,1263158A,2021,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",Australia,West Indies,45,1,64,2,32,2,141,5,Australia,bat,Gros Islet,West Indies,Australia tour of West Indies
143,1263158B,2021,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",West Indies,Australia,49,2,93,2,0,0,142,4,Australia,bat,Gros Islet,West Indies,Australia tour of West Indies
144,682897A,2014,Shere Bangla National Stadium,Afghanistan,Bangladesh,36,3,34,3,2,2,72,8,Bangladesh,field,Mirpur,Bangladesh,World T20
144,682897B,2014,Shere Bangla National Stadium,Bangladesh,Afghanistan,36,0,42,0,0,0,78,0,Bangladesh,field,Mirpur,Bangladesh,World T20
145,1031665A,2017,Riverside Ground,West Indies,England,72,0,70,6,34,1,176,7,England,field,Chester-le-Street,West Indies,West Indies tour of England
145,1031665B,2017,Riverside Ground,England,West Indies,64,2,63,5,28,3,155,10,England,field,Chester-le-Street,West Indies,West Indies tour of England
146,1310175A,2022,Marsa Sports Club,Hungary,Bulgaria,37,3,89,1,32,3,158,7,Bulgaria,field,Marsa,Hungary,Valletta Cup
146,1310175B,2022,Marsa Sports Club,Bulgaria,Hungary,59,2,75,2,19,5,153,9,Bulgaria,field,Marsa,Hungary,Valletta Cup
147,1233960A,2020,Seddon Park,Pakistan,New Zealand,33,3,86,2,44,1,163,6,Pakistan,bat,Hamilton,New Zealand,Pakistan tour of New Zealand
147,1233960B,2020,Seddon Park,New Zealand,Pakistan,46,1,97,0,21,0,164,1,Pakistan,bat,Hamilton,New Zealand,Pakistan tour of New Zealand
148,1233974A,2021,Westpac Stadium,Australia,New Zealand,38,1,71,4,47,1,156,6,Australia,bat,Wellington,Australia,Australia tour of New Zealand
148,1233974B,2021,Westpac Stadium,New Zealand,Australia,25,1,56,7,25,2,106,10,Australia,bat,Wellington,Australia,Australia tour of New Zealand
149,1286671A,2021,"Sir Vivian Richards Stadium, North Sound, Antigua",Bahamas,Argentina,24,1,79,5,18,2,121,8,Bahamas,bat,North Sound,Bahamas,ICC Men's T20 World Cup Americas Region Qualifier
149,1286671B,2021,"Sir Vivian Richards Stadium, North Sound, Antigua",Argentina,Bahamas,41,0,38,2,30,2,109,4,Bahamas,bat,North Sound,Bahamas,ICC Men's T20 World Cup Americas Region Qualifier
150,1272096A,2021,"Shere Bangla National Stadium, Mirpur",New Zealand,Bangladesh,22,2,52,5,19,3,93,10,New Zealand,bat,Dhaka,Bangladesh,New Zealand tour of Bangladesh
150,1272096B,2021,"Shere Bangla National Stadium, Mirpur",Bangladesh,New Zealand,32,3,42,1,22,0,96,4,New Zealand,bat,Dhaka,Bangladesh,New Zealand tour of Bangladesh
151,1310161A,2022,"Desert Springs Cricket Ground, Almeria",Norway,Guernsey,20,2,61,3,56,2,137,7,Norway,bat,Almeria,Norway,Spain Triangular T20I Series
151,1310161B,2022,"Desert Springs Cricket Ground, Almeria",Guernsey,Norway,27,1,49,3,24,2,100,6,Norway,bat,Almeria,Norway,Spain Triangular T20I Series
152,1283047A,2021,Gahanga International Cricket Stadium. Rwanda,Mozambique,Sierra Leone,38,2,42,5,16,2,96,9,Mozambique,bat,Kigali City,Sierra Leone,ICC Men's T20 World Cup Sub Regional Africa Qualifier
152,1283047B,2021,Gahanga International Cricket Stadium. Rwanda,Sierra Leone,Mozambique,26,2,56,2,15,0,97,4,Mozambique,bat,Kigali City,Sierra Leone,ICC Men's T20 World Cup Sub Regional Africa Qualifier
